;Company;Job;Location;Salary;Salary_2;Sal_avg
866;ADMIN FOR CHILDREN'S SVCS;Juvenile Justice Senior Analyst;New York;70286;88213;79249
875;DEPT OF ENVIRONMENT PROTECTION;Forestry Program Manager;New York;83887;113725;98806
882;Workbridge Associates;Chief Data Scientist;New York;110000;140000;125000
892;DEPARTMENT OF FINANCE;Policy Data Analyst;Manhattan, NY;68239;80000;74119
898;Workbridge Associates;Data Scientist for a growing cyber security company located...;New York;110000;140000;125000
903;Smith Arnold Partners;Research Analyst;New York, NY;50000;65000;57500
904;POLICE DEPARTMENT;STATISTICIAN, LEVEL I;New York;41057;61669;51363
905;Averity;Executive Director of Data Engineering;New York;200000;230000;215000
907;Averity;Sr. Data Scientist for Top Travel Company;New York;100000;120000;110000
908;Spencer Ogden;Equity Research Analyst - Power & Utilities;New York;110000;120000;115000
921;Green Key Resources;Research Analyst;New York;70000;90000;80000
929;TW Staffing Solutions;Data Scientist;New York;199000;0;199000
962;DEPT OF ENVIRONMENT PROTECTION;City Research Scientist;New York;70286;88213;79249
979;Selby Jennings;FTR Quantitative Risk Analyst;New York;90000;180000;135000
983;POLICE DEPARTMENT;Data Analytics Research Scientist;New York;70286;88213;79249
14;Workbridge Associates;Principal Data Scientist (Recommendation);San Francisco, CA;120000;160000;140000
29;Workbridge Associates;Infrastructure Engineer for Successful Machine Learning Star...;San Francisco, CA;120000;160000;140000
63;Even;Full-stack designer;Oakland, CA;34142;0;34142
186;Lyra Health;Clinical Social Worker / Client Care Navigation;Burlingame, CA 94010;90000;0;90000
218;Even;Data scientist;Oakland, CA;34142;0;34142
258;City & County of San Francisco;Manager I - Chief Microbiologist (Chief Microbiologist);San Francisco, CA 94124 (Bayview area);98202;125346;111774
297;Workbridge Associates;Principal Data Scientist;San Francisco, CA;170000;190000;180000
345;Corporate Labs Technology;Data Scientist (Machine Learning);Brisbane, CA;110000;180000;145000
362;Workbridge Associates;Senior Data Scientist (NLP);San Francisco, CA;140000;180000;160000
396;HERO.jobs;Senior Software Engineer - Python - Machine Learning;San Francisco, CA;200000;0;200000
404;Jobspring Partners;FrontEnd Developer;San Francisco, CA;130000;160000;145000
430;Workbridge Associates;Data Science (Human Computation);San Francisco, CA;140000;180000;160000
459;Workbridge Associates;Lead Data Scientist;San Francisco, CA;150000;190000;170000
493;NelsonJobs;Business Analyst / Junior Data Scientist;Walnut Creek, CA;100000;0;100000
532;Bayone Solutions Inc.;Data Scientist - Recommendation Engine;San Francisco, CA;160000;0;160000
543;Corporate Labs Technology;Data Scientist (Natural Language Processing);Brisbane, CA;110000;180000;145000
552;University of California Berkeley;Assistant/Associate Project Scientist - Berkeley Seismologic...;Berkeley, CA;54800;70900;62850
565;Jobspring Partners;Senior Build & Release Engineer (Machine Learning);San Francisco, CA;140000;160000;150000
